127.0.0.1 - - [04/Nov/2017:15:48:21 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:48:25 -0500] "GET /jobs/ HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:49:08 -0500] "GET /jobs/user/list.html HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:49:12 -0500] "GET /jobs/user/view/100.html HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:49:14 -0500] "GET /jobs/user/list.html HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:49:16 -0500] "GET /jobs/user/edit.html?id=102 HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:49:21 -0500] "POST /jobs/user/edit.html?id=102 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:49:21 -0500] "GET /jobs/user/list.html HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:49:28 -0500] "GET /jobs/user/edit.html?id=101 HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:49:32 -0500] "POST /jobs/user/edit.html?id=101 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:49:32 -0500] "GET /jobs/user/list.html HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:49:36 -0500] "GET /jobs/user/view.html?id=101 HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:49:38 -0500] "GET /jobs/user/list.html HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:49:40 -0500] "GET /jobs/user/edit.html?id=101 HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:49:42 -0500] "GET /jobs/user/list.html HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:50:48 -0500] "GET /jobs/user/edit.html?id=101 HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:50:49 -0500] "GET /jobs/user/list.html HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:50:50 -0500] "GET /jobs/user/edit.html?id=102 HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [04/Nov/2017:15:50:50 -0500] "GET /jobs/user/list.html HTTP/1.1" 200 1454
