127.0.0.1 - - [28/Jan/2018:16:43:30 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:43:33 -0600] "GET /jobs/ HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:47:34 -0600] "GET /jobs/ HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:47:35 -0600] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:47:38 -0600] "GET /jobs/user/list.html HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:47:48 -0600] "GET /jobs/user/add.html HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:47:57 -0600] "POST /jobs/user/add.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:47:57 -0600] "GET /jobs/user/list.html HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:00 -0600] "GET /jobs/user/edit.html?id=104 HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:10 -0600] "POST /jobs/user/edit.html?id=104 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:10 -0600] "GET /jobs/user/list.html HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:14 -0600] "GET /jobs/user/view.html?id=104 HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:16 -0600] "GET /jobs/user/list.html HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:18 -0600] "GET /jobs/user/add.html HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:31 -0600] "POST /jobs/user/add.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:31 -0600] "GET /jobs/user/list.html HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:34 -0600] "GET /jobs/user/edit.html?id=105 HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:39 -0600] "POST /jobs/user/edit.html?id=105 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:39 -0600] "GET /jobs/user/list.html HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:41 -0600] "GET /jobs/user/add.html HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:55 -0600] "POST /jobs/user/add.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:55 -0600] "GET /jobs/user/list.html HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:48:57 -0600] "GET /jobs/user/add.html HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:49:14 -0600] "POST /jobs/user/add.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:49:14 -0600] "GET /jobs/user/list.html HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:49:25 -0600] "GET /jobs/user/add.html HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:49:40 -0600] "POST /jobs/user/add.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:49:40 -0600] "GET /jobs/user/list.html HTTP/1.1" 200 2725
0:0:0:0:0:0:0:1 - - [28/Jan/2018:16:49:52 -0600] "GET /jobs/user/list.html HTTP/1.1" 200 2725
